"hotel","lugar","num_turistas"
"Apartamentos_The_Koala_Garden_Suites","Holiday_World_Maspalomas",31
"Apartamentos_The_Koala_Garden_Suites","Playa_de_Maspalomas",30
"Apartamentos_The_Koala_Garden_Suites","El_Faro_de_Maspalomas",22
"Apartamentos_The_Koala_Garden_Suites","Palmitos_Park",17
"Aparthotel_Buenos_Aires","The_Red_Cow_Restaurant_Sports_Lounge",34
"Aparthotel_Buenos_Aires","Wapa_Tapa",23
"Aparthotel_Buenos_Aires","Yumbo_Centrum",19
"Aparthotel_Buenos_Aires","Martel_House",18
"Aparthotel_Buenos_Aires","Sparkles_Showbar",17
"Aparthotel_Riu_Flamingo","El_Carreton",17
"Axel_Beach_Apartments_Lounge_Club_Maspalomas","Yumbo_Centrum",31
"Axel_Beach_Apartments_Lounge_Club_Maspalomas","Wapa_Tapa",31
"Axel_Beach_Apartments_Lounge_Club_Maspalomas","Dunas_de_Maspalomas",27
"Axel_Beach_Apartments_Lounge_Club_Maspalomas","Gio_Bar_Restaurante",19
"Axel_Beach_Apartments_Lounge_Club_Maspalomas","Martel_House",18
"Axel_Beach_Apartments_Lounge_Club_Maspalomas","Parrots_Restaurant_Gran_Canaria",16
"Barcelo_Las_Margaritas","Dunas_de_Maspalomas",34
"Barcelo_Las_Margaritas","Yumbo_Centrum",29
"Barcelo_Las_Margaritas","Palmitos_Park",25
"Barcelo_Las_Margaritas","Aqualand",23
"Barcelo_Las_Margaritas","Playa_de_Maspalomas",18
"Beverly_Park_Hotel","Dunas_de_Maspalomas",35
"Beverly_Park_Hotel","Hotel_Beverly_Park",28
"Beverly_Park_Hotel","Paseo_Costa_Canaria",17
"Beverly_Park_Hotel","Yumbo_Centrum",17
"Beverly_Park_Hotel","Aqualand",16
"Beverly_Park_Hotel","Palmitos_Park",16
"Bohemia_Suites_Spa","360",21
"Bohemia_Suites_Spa","Dunas_de_Maspalomas",18
"Bungalows_Club_Maspalomas","Playa_de_Maspalomas",40
"Bungalows_Club_Maspalomas","Palmitos_Park",28
"Bungalows_Club_Maspalomas","El_Nublo",20
"Bungalows_Club_Maspalomas","Holiday_World_Maspalomas",19
"Bungalows_Cordial_Sandy_Golf","Playa_de_Maspalomas",21
"Bungalows_Cordial_Sandy_Golf","El_Faro_de_Maspalomas",16
"Bungalows_Vista_Oasis_Apartments","Playa_de_Maspalomas",37
"Bungalows_Vista_Oasis_Apartments","Palmitos_Park",32
"Bungalows_Vista_Oasis_Apartments","Holiday_World_Maspalomas",22
"Bungalows_Vista_Oasis_Apartments","Aqualand_Maspalomas",19
"Bungalows_Vistaflor","Palmitos_Park",18
"Bungalows_Vistaflor","Playa_de_Maspalomas",16
"Canary_Garden_Club","Palmitos_Park",26
"Canary_Garden_Club","Playa_de_Maspalomas",24
"Canary_Garden_Club","Holiday_World_Maspalomas",19
"Caybeach_Princess","Palmitos_Park",23
"Caybeach_Princess","Aqualand_Maspalomas",18
"Caybeach_Princess","Playa_de_Maspalomas",17
"ClubHotel_Riu_Gran_Canaria","Playa_de_Maspalomas",64
"ClubHotel_Riu_Gran_Canaria","Palmitos_Park",38
"ClubHotel_Riu_Gran_Canaria","El_Faro_de_Maspalomas",36
"ClubHotel_Riu_Gran_Canaria","Grand_Italia",25
"ClubHotel_Riu_Gran_Canaria","The_19th_Hole",19
"ClubHotel_Riu_Gran_Canaria","Aqualand_Maspalomas",17
"Cordial_Green_Golf","Playa_de_Maspalomas",57
"Cordial_Green_Golf","Palmitos_Park",42
"Cordial_Green_Golf","El_Faro_de_Maspalomas",24
"Cordial_Green_Golf","Broncemar_II",20
"Cordial_Green_Golf","El_Nublo",19
"Cordial_Green_Golf","Holiday_World_Maspalomas",18
"Cordial_Green_Golf","Aqualand_Maspalomas",17
"Dunas_Maspalomas_Resort","Playa_de_Maspalomas",40
"Dunas_Maspalomas_Resort","Palmitos_Park",31
"Dunas_Mirador_Maspalomas","Playa_de_Maspalomas",87
"Dunas_Mirador_Maspalomas","Palmitos_Park",53
"Dunas_Mirador_Maspalomas","Aqualand_Maspalomas",40
