"equipamiento","num_comentarios","tipo"
"Apartamentos_The_Koala_Garden_Suites",435,"Hotel"
"Aparthotel_Buenos_Aires",535,"Hotel"
"Aparthotel_Riu_Flamingo",283,"Hotel"
"Axel_Beach_Apartments_Lounge_Club_Maspalomas",901,"Hotel"
"Barcelo_Las_Margaritas",2230,"Hotel"
"Beverly_Park_Hotel",1161,"Hotel"
"Bohemia_Suites_Spa",686,"Hotel"
"Bungalows_Club_Maspalomas",410,"Hotel"
"Bungalows_Cordial_Sandy_Golf",414,"Hotel"
"Bungalows_Vista_Oasis_Apartments",608,"Hotel"
"Bungalows_Vistaflor",394,"Hotel"
"Canary_Garden_Club",466,"Hotel"
"Caybeach_Princess",438,"Hotel"
"ClubHotel_Riu_Gran_Canaria",1742,"Hotel"
"Cordial_Green_Golf",983,"Hotel"
"Dunas_Maspalomas_Resort",641,"Hotel"
"Dunas_Mirador_Maspalomas",1895,"Hotel"
"Eo_Suite_Hotel_Jardin_Dorado",633,"Hotel"
"Escorial",632,"Hotel"
"Gloria_Palace_San_Agustin_Thalasso_Hotel",1861,"Hotel"
"Gold_By_Marina",881,"Hotel"
"H10_Playa_Meloneras_Palace",2406,"Hotel"
"HD_Parque_Cristobal_Gran_Canaria",975,"Hotel"
"Hotel_Dunas_Suites_and_Villas_Resort",1433,"Hotel"
"Hotel_Eugenia_Victoria",1055,"Hotel"
"Hotel_Neptuno_Gran_Canaria",848,"Hotel"
"Hotel_Riu_Don_Miguel",1011,"Hotel"
"Hotel_Riu_Palace_Maspalomas",1107,"Hotel"
"Hotel_Riu_Palace_Meloneras_Resort",858,"Hotel"
"Hotel_Riu_Palace_Oasis",635,"Hotel"
"Hotel_Servatur_Waikiki",1322,"Hotel"
"IFA_Buenaventura_Hotel",1942,"Hotel"
"IFA_Catarina_Hotel",1344,"Hotel"
"IFA_Continental_Hotel",1642,"Hotel"
"IFA_Faro_Hotel",519,"Hotel"
"IFA_Interclub_Atlantic_Hotel",1833,"Hotel"
"Maspalomas_Oasis_Club",605,"Hotel"
"Maspalomas_Princess_Hotel",1271,"Hotel"
"Melia_Tamarindos",973,"Hotel"
"Palm_Oasis_Maspalomas",562,"Hotel"
"Playa_del_Sol_Adults_Only",425,"Hotel"
"Santa_Clara_Bungalows",277,"Hotel"
"Seaside_Palm_Beach",737,"Hotel"
"Seaside_Sandy_Beach",865,"Hotel"
"SENTIDO_Gran_Canaria_Princess",1375,"Hotel"
"Servatur_Barbados_Apartments",208,"Hotel"
"Sheraton_Gran_Canaria_Salobre_Golf_Resort",1879,"Hotel"
"Sol_Barbacan_Hotel",542,"Hotel"
"Sunprime_Atlantic_View_Suites_Spa",638,"Hotel"
"Tabaiba_Princess",1489,"Hotel"
"Tisalaya_Park",317,"Hotel"
"Turbo_Club",844,"Hotel"
"360",98,"Restaurante"
"Balcon_de_San_Agustin",222,"Restaurante"
"Bamboo_Garden",88,"Restaurante"
"Broncemar_II",162,"Restaurante"
"Camaleon",71,"Restaurante"
"Casa_Serafin",128,"Restaurante"
"Chez_Luici",139,"Restaurante"
"Chez_Luigi",145,"Restaurante"
"Ciao_Ciao_Meloneras",440,"Restaurante"
"El_Capitan",321,"Restaurante"
"El_Carreton",494,"Restaurante"
"El_Chacho_Restaurante_Mexicano",306,"Restaurante"
"El_Nublo",483,"Restaurante"
"Fusion_Restaurant_Loungebar",980,"Restaurante"
"Gio_Bar_Restaurante",497,"Restaurante"
"Grand_Italia",1286,"Restaurante"
"Greek_Taverna",329,"Restaurante"
"Greek_Village",392,"Restaurante"
"Hotel_Beverly_Park",72,"Restaurante"
"Loopys",243,"Restaurante"
"Lounge_El_Portalon",64,"Restaurante"
"Mana_264",537,"Restaurante"
"Martel_House",618,"Restaurante"
"Parrots_Restaurant_Gran_Canaria",540,"Restaurante"
"Restaurante_Gorbea",262,"Restaurante"
"Restaurante_Nitos",131,"Restaurante"
"Steakhouse_El_Rancho",322,"Restaurante"
"Tango_Tapas",453,"Restaurante"
"The_19th_Hole",482,"Restaurante"
"The_British_Bulldog",337,"Restaurante"
"The_Red_Cow_Restaurant_Sports_Lounge",551,"Restaurante"
"Wapa_Tapa",1382,"Restaurante"
"Aqualand",962,"Actividad"
"Aqualand_Maspalomas",1491,"Actividad"
"Dunas_de_Maspalomas",1737,"Actividad"
"El_Faro_de_Maspalomas",1640,"Actividad"
"Holiday_World_Maspalomas",739,"Actividad"
"Kasbah",356,"Actividad"
"Moonlight_Cinema",821,"Actividad"
"Nikolay_Dobrev_Massage_Therapist",174,"Actividad"
"Palmitos_Park",3775,"Actividad"
"Paseo_Costa_Canaria",362,"Actividad"
"Playa_de_Maspalomas",3622,"Actividad"
"Playa_de_San_Agustin",371,"Actividad"
"Ricky_s_Cabaret_Bar",664,"Actividad"
"Salobre_Golf_and_Resort",121,"Actividad"
"Sparkles_Showbar",886,"Actividad"
"Thalasso_Gloria_San_Agustin",802,"Actividad"
"Yumbo_Centrum",1717,"Actividad"
